2026-04-21T21:15:02.036Z [INFO ] Logger started — level=info, dir=/Users/yuna/projects/meal-nutrition-app-v3/data/logs
2026-04-21T21:18:43.382Z [INFO ] DELETE /api/meals/1776804955878 200 44ms pid=eugene_1774743355860
2026-04-21T21:18:43.481Z [INFO ] GET /api/summary/2026-04-21 200 44ms pid=eugene_1774743355860
2026-04-21T21:18:43.484Z [INFO ] GET /api/supplog/2026-04-21 304 1ms pid=eugene_1774743355860
2026-04-21T21:18:43.486Z [INFO ] GET /api/supplog/2026-04-21/totals 304 1ms pid=eugene_1774743355860
2026-04-21T21:18:43.544Z [INFO ] GET /api/supplements 304 1ms pid=eugene_1774743355860
2026-04-21T21:18:51.160Z [INFO ] DELETE /api/meals/1776804955874 200 11ms pid=eugene_1774743355860
2026-04-21T21:18:51.233Z [INFO ] GET /api/summary/2026-04-21 200 55ms pid=eugene_1774743355860
2026-04-21T21:18:51.237Z [INFO ] GET /api/supplog/2026-04-21/totals 304 1ms pid=eugene_1774743355860
2026-04-21T21:18:51.237Z [INFO ] GET /api/supplog/2026-04-21 304 1ms pid=eugene_1774743355860
2026-04-21T21:18:51.270Z [INFO ] GET /api/supplements 304 1ms pid=eugene_1774743355860
2026-04-21T22:07:39.547Z [INFO ] Logger started — level=info, dir=/Users/yuna/projects/meal-nutrition-app-v3/data/logs
2026-04-21T22:07:39.550Z [INFO ] Auth disabled — no GOOGLE_CLIENT_ID or GITHUB_CLIENT_ID in .env. Running in open mode.
2026-04-21T22:08:22.864Z [INFO ] GET / 200 6ms pid=-
2026-04-21T22:08:22.896Z [INFO ] GET /app.js 200 7ms pid=-
2026-04-21T22:08:22.908Z [INFO ] GET /api/auth/me 200 3ms pid=-
2026-04-21T22:08:22.912Z [INFO ] GET /api/supplog/2026-04-21/totals 400 3ms pid=-
2026-04-21T22:08:22.914Z [INFO ] GET /api/supplog/2026-04-21 400 1ms pid=-
2026-04-21T22:08:22.915Z [INFO ] GET /api/summary/2026-04-21 400 2ms pid=-
2026-04-21T22:08:23.067Z [INFO ] GET /api/profiles 304 1ms pid=-
2026-04-21T22:08:23.120Z [INFO ] GET /api/supplements 400 1ms pid=-
2026-04-21T22:08:23.122Z [INFO ] GET /api/profiles 304 3ms pid=-
2026-04-21T22:08:23.212Z [INFO ] GET /api/settings 304 60ms pid=eugene_1774743355860
2026-04-21T22:08:23.242Z [INFO ] GET /api/supplements 200 1ms pid=eugene_1774743355860
